,0,1,2,3,accuracy,macro avg,weighted avg
precision,0.5162689804772235,0.36929460580912865,0.45565217391304347,0.8061002178649237,0.513251213139231,0.5368289945160798,0.5368915306820773
recall,0.7104477611940299,0.3991031390134529,0.39104477611940297,0.5522388059701493,0.513251213139231,0.5132086205742588,0.513251213139231
f1-score,0.5979899497487438,0.38362068965517243,0.42088353413654617,0.6554472984942427,0.513251213139231,0.5144853680086763,0.5145342163395287
support,670,669,670,670,0.513251213139231,2679,2679
