,0,1,2,3,accuracy,macro avg,weighted avg
precision,0.578708946772367,0.3995584988962472,0.4792332268370607,0.6694560669456067,0.5494587532661441,0.5317391848628203,0.5317885244245847
recall,0.7626865671641792,0.2705530642750374,0.44776119402985076,0.7164179104477612,0.5494587532661441,0.5493546839792071,0.5494587532661441
f1-score,0.6580811332904056,0.3226381461675579,0.46296296296296297,0.692141312184571,0.5494587532661441,0.5339558886513744,0.5340347679878744
support,670,669,670,670,0.5494587532661441,2679,2679
