,0,1,2,3,accuracy,macro avg,weighted avg
precision,0.566127497621313,0.5204081632653061,0.6781609195402298,0.9266409266409267,0.6476297125793207,0.6728343767669439,0.6728912734498487
recall,0.8880597014925373,0.45739910313901344,0.5283582089552239,0.7164179104477612,0.6476297125793207,0.6475587310086339,0.6476297125793207
f1-score,0.6914584543869843,0.48687350835322196,0.5939597315436241,0.8080808080808081,0.6476297125793207,0.6450931255911596,0.6451521847987886
support,670,669,670,670,0.6476297125793207,2679,2679
